Site ID,Stream Temperature 2040s,Stream Temperature 2080s,Stream Temperature Historical,Streamflow Historical,Streamflow 2040s,Streamflow 2080s
ALB,24.304,25.621,18.7475384615,2022.0297142855395,2042.1552285711189,1955.022942856708
LIB,18.852,19.938,11.4108461538,4092.9037142859934,2727.7714428578297,2488.091671429246
BFE,12.079,12.824,6.98784615385,5730.669857143043,4217.675485714396,3687.1163857143233
BON,19.896,21.094,-2989.555,81463.4347142865,67905.5105142888,70655.70008571919
HOD,22.852,23.982,14.7106153846,297.4502857142753,251.91715714284766,250.7656714285618
JDA,29.051,30.255,19.8276153846,75096.17599999993,62201.72422857291,64692.853028572725
KLC,24.66,25.814,16.204,479.47957142858655,418.0073714285661,557.918685714276
MCN,30.636,31.858,-980.837076923,72231.64914285557,60651.47672857583,63727.254742863006
PEL,22.497,23.624,-2989.79638462,479.47957142858655,418.0073714285661,557.918685714276
ROU,21.074,22.185,-4993.53007692,2021.3784285714369,1868.5771714285572,1911.096114285671
TDA,30.062,31.277,20.6619230769,78881.48057143264,65027.500657146935,68126.20662857592
WHS,20.609,21.713,-3991.98207692,231.84228571430285,223.4676428571607,213.78190000001226
WHT,25.286,26.443,16.7195384615,173.09585714285126,177.39204285713018,175.3866428571283
WWA,30.553,31.775,21.0661538462,131.80414285715395,98.91687142856749,146.96001428573175
ANA,27.917,29.111,18.8932307692,15323.47628571408,15091.14704285649,14896.38664285633
BRN,20.016,21.110999999999997,12.369846153846154,11705.18071428553,11340.41702857103,10772.909199999576
DWR,19.004,20.089,11.5361538462,979.4535714285746,879.1980571429212,776.0960714286678
GAL,19.832,20.925,12.2183076923,302.6330000000024,276.927500000021,273.50767142858746
HCD,22.451,23.579,14.3807692308,11803.640714285884,11410.01848571477,10885.208014285972
IHR,30.789,32.015,21.2623846154,18344.94414285675,17669.9958285724,19071.321914286687
LGS,28.169,29.361,19.0996923077,17737.559857143624,17282.382814285782,18629.42011428598
LIM,28.212,29.407,19.1370769231,14433.8815714285,13570.969371428486,12691.893928571253
LMN,28.333,29.53,19.2369230769,18169.23014285656,17560.393542856647,18964.38139999971
LWG,26.615,27.791,17.8163076923,17608.347428571396,17201.752828571123,18537.43094285723
ORO,19.004,20.089,11.5361538462,931.6444285715177,739.8535000000353,609.4954571428626
OXB,19.614,20.705,12.0387692308,11731.999857142726,11359.611014285783,10803.875614285596
PLS,27.426,28.611,18.4863076923,0.7431428571443746,0.6388999999962345,0.5082428571440784
SPD,24.625,25.776,16.1745384615,2174.316142857174,1924.705214285914,1659.1327857144504
TRY,26.255,27.426,17.5204615385,420.7481428571804,354.65498571441594,354.97221428584237
WEN,24.988,26.143,16.4731538462,41.433857142853306,31.33401428570806,29.948871428557446
